sentence_id,sentence,flag,review_status
HTL_S0079,宾馆反馈2008年4月28日：非常感谢您的入住及您对我们的肯定，我们将为您以后的每一次入住提供更贴心的服务！,possible_hotel_reply,needs_review
HTL_S0103,感谢您提出的建议和意见，并诚挚的邀请您能再次入住港湾大酒店！,possible_hotel_reply,needs_review
HTL_S0114,同时，希望欢迎您下次光临。,possible_hotel_reply,needs_review
HTL_S0161,补充点评2008年8月12日：我们住的是3人间，早餐给露露和橙汁，小窝头很好吃，再要没给我，555宾馆反馈2008年8月13日：感谢您的点评，希望有机会再次光临本客栈！,possible_hotel_reply,needs_review
HTL_S0165,烟台中心大酒店非常感谢您对酒店提出的宝贵意见，并将完善好酒店每一个服务细节，期待您的再次光临！,possible_hotel_reply,needs_review
HTL_S0169,非常感谢您对酒店的意见和支持，我们会加强培训，努力为每一位客人营造一个家外之家，期待您的再次光临！,possible_hotel_reply,needs_review
HTL_S0215,宾馆反馈2008年4月21日：尊敬的客人，非常感谢您再次入住我们酒店。,possible_hotel_reply,needs_review
HTL_S0229,宾馆反馈2008年3月12日：感谢您提的宝贵意见，宾馆已经针对您的建议作出改进。,possible_hotel_reply,needs_review
HTL_S0280,补充点评2008年1月22日：7、早餐七点半供应，有点晚吧宾馆反馈2008年8月16日：感谢您的评价，我们己经将意义和建议反映给上级领导了，并且改进了服务，希望您下次入住时会真正体会到我们的进步。,possible_hotel_reply,needs_review
HTL_S0368,"宾馆反馈2008年1月14日：感谢您对我们服务的认可,其他方面我们也会努力.",possible_hotel_reply,needs_review
HTL_S0420,我们十分感谢您提出的宝贵意见，希望您下次有机会能再次入住我们酒店。,possible_hotel_reply,needs_review
HTL_S0429,"我们非常地抱歉在您入住本酒店期间给您带来的不便,对于您提出空调响的问题,我们酒店管理层非常重视,马上找专业人员改善空调的问题，今后我们将不断改进我们的不足,为您及所有宾客提供更优质服务,再次感谢您,并期待您的下次光临,谢谢!",possible_hotel_reply,needs_review
HTL_S0446,"宾馆反馈2008年5月7日：尊敬的宾客,感谢您的点评.",possible_hotel_reply,needs_review
HTL_S0465,呵呵，再次感谢您的支持，期待您的下次光临。,possible_hotel_reply,needs_review
HTL_S0491,宾馆反馈2007年10月10日：首先我们感谢您对酒店提出宝贵意见。,possible_hotel_reply,needs_review
HTL_S0842,我们诚挚地期待您下次光临我们酒店，我们将尽量满足您的订房需求。,possible_hotel_reply,needs_review
HTL_S0848,设施老旧，服务员素质不高借个勺子都要押金借伞也要押金服务员整理房间把遥控器卷到了被子里，晕宾馆反馈2008年5月13日：感谢您的点评。,possible_hotel_reply,needs_review
HTL_S0927,我们将一如既往地保持5星级的服务标准，欢迎您再次下榻，衷心祝您身体健康，工作顺利!,possible_hotel_reply,needs_review
HTL_S1015,给您带来不便我们深表歉意！,possible_hotel_reply,needs_review
HTL_S1422,希望您能再次光临本酒店，如果您在店期间遇到任何问题，请与相关部门联系，我们会圆满的为您解决，谢谢。,possible_hotel_reply,needs_review
HTL_S1452,我们将针对您提出的宝贵意见进行改进.,possible_hotel_reply,needs_review
HTL_S1463,宾馆反馈2008年8月5日：非常感谢您的评价。,possible_hotel_reply,needs_review
HTL_S1487,如您在入住期间遇到任何问题可以联系总台及大堂经理，我们会在第一时间到您房间为您解决，真诚期待您的再次光临！,possible_hotel_reply,needs_review
HTL_S1658,感觉很好，客房管家的留言很温馨，下次到石家庄的话，还会选择这里宾馆反馈2008年8月4日：感谢您对国宾大酒店的认可。,possible_hotel_reply,needs_review
HTL_S1725,"性价比很好,设施很方便,适合家庭(3人以上)入住宾馆反馈2008年8月5日：非常感谢您的评价。",possible_hotel_reply,needs_review
HTL_S1752,早餐的刀叉用具放在西点处可能不明显，我们对没有及时关注到客人的需求表示歉意，欢迎您的再次光临。,possible_hotel_reply,needs_review
HTL_S1841,宾馆反馈2008年6月5日：尊敬的客人您好，您的一翻话犹如一声响雷，给了我们很大的触动，也让我们更深刻的明白了100-1=0的服务内涵。,possible_hotel_reply,needs_review
